user_id,gender,total_votes_received,opposite_votes_received,opposite_vote_ratio
849928,M,100,25,0.25
849938,M,33,12,0.36363636363636365
849946,F,150,20,0.13333333333333333
849963,M,178,59,0.33146067415730335
849974,M,351,189,0.5384615384615384
849977,F,77,20,0.2597402597402597
849979,F,63,38,0.6031746031746031
849981,M,303,53,0.17491749174917492
849983,M,530,203,0.38301886792452833
849995,F,207,49,0.23671497584541062
850006,M,295,52,0.17627118644067796
850007,F,370,80,0.21621621621621623
850031,M,160,43,0.26875
850039,F,316,75,0.23734177215189872
850057,F,362,67,0.1850828729281768
850058,M,329,191,0.5805471124620061
850077,F,124,61,0.49193548387096775
850091,M,98,19,0.19387755102040816
850096,M,206,70,0.33980582524271846
850098,F,582,153,0.26288659793814434
850100,M,211,120,0.5687203791469194
850102,M,108,48,0.4444444444444444
850112,F,331,192,0.5800604229607251
850127,F,300,76,0.25333333333333335
850130,F,262,61,0.23282442748091603
850150,M,223,96,0.4304932735426009
850152,F,177,35,0.1977401129943503
850173,M,69,19,0.2753623188405797
850176,M,28,10,0.35714285714285715
850180,M,657,128,0.1948249619482496
850186,F,286,47,0.16433566433566432
850190,F,84,3,0.03571428571428571
850195,F,301,85,0.2823920265780731
850208,F,296,22,0.07432432432432433
850212,F,12,10,0.8333333333333334
850215,F,139,10,0.07194244604316546
850217,F,384,58,0.15104166666666666
850229,F,492,84,0.17073170731707318
850248,F,99,42,0.42424242424242425
850249,F,193,44,0.22797927461139897
850255,M,282,133,0.4716312056737589
850267,M,78,36,0.46153846153846156
850269,F,288,76,0.2638888888888889
850284,F,348,109,0.3132183908045977
850302,M,238,116,0.48739495798319327
850303,M,83,17,0.20481927710843373
850319,F,249,20,0.08032128514056225
850334,M,143,51,0.35664335664335667
850344,M,369,116,0.3143631436314363
850378,M,120,11,0.09166666666666666
850388,M,291,81,0.27835051546391754
850392,F,669,231,0.3452914798206278
850412,M,172,61,0.3546511627906977
850413,F,182,44,0.24175824175824176
850429,M,50,17,0.34
850435,M,52,29,0.5576923076923077
850457,M,608,205,0.3371710526315789
850475,F,213,71,0.3333333333333333
850526,M,24,18,0.75
850536,F,108,20,0.18518518518518517
850554,M,191,98,0.5130890052356021
850556,M,234,61,0.2606837606837607
850574,F,450,139,0.3088888888888889
850582,F,48,4,0.08333333333333333
850601,F,198,73,0.3686868686868687
850606,F,170,6,0.03529411764705882
850610,M,262,135,0.5152671755725191
850615,M,525,240,0.45714285714285713
850633,F,236,34,0.1440677966101695
850668,M,234,95,0.405982905982906
850695,M,245,109,0.4448979591836735
850699,M,318,127,0.39937106918238996
850710,M,389,223,0.5732647814910026
850718,M,162,59,0.36419753086419754
850719,M,193,57,0.29533678756476683
850728,M,190,47,0.24736842105263157
850736,F,185,37,0.2
850737,M,62,11,0.1774193548387097
850755,M,70,30,0.42857142857142855
850761,F,365,109,0.29863013698630136
850774,F,456,86,0.18859649122807018
850811,F,114,13,0.11403508771929824
850832,F,65,19,0.2923076923076923
850866,M,604,210,0.347682119205298
850870,F,187,69,0.3689839572192513
850878,F,214,48,0.22429906542056074
850903,F,172,44,0.2558139534883721
850948,F,402,152,0.3781094527363184
850949,M,105,50,0.47619047619047616
850966,F,18,0,0.0
850986,F,254,79,0.3110236220472441
851144,F,169,14,0.08284023668639054
851219,F,284,42,0.14788732394366197
851226,F,152,26,0.17105263157894737
851250,F,182,103,0.5659340659340659
851251,M,28,8,0.2857142857142857
851256,M,55,24,0.43636363636363634
851328,M,162,37,0.22839506172839505
851383,F,145,11,0.07586206896551724
851396,F,346,88,0.2543352601156069
851431,F,209,57,0.2727272727272727
851491,F,449,149,0.33184855233853006
851523,M,70,13,0.18571428571428572
851541,F,90,11,0.12222222222222222
851556,F,273,211,0.7728937728937729
851590,F,59,28,0.4745762711864407
851593,F,53,15,0.2830188679245283
851644,M,130,34,0.26153846153846155
851695,F,96,15,0.15625
851717,M,294,224,0.7619047619047619
851770,F,142,140,0.9859154929577465
851835,F,111,41,0.36936936936936937
851929,F,44,0,0.0
852044,M,279,80,0.2867383512544803
852140,M,173,77,0.44508670520231214
852160,M,11,4,0.36363636363636365
852174,F,258,102,0.3953488372093023
852264,M,158,65,0.41139240506329117
852305,F,165,43,0.2606060606060606
852355,M,305,106,0.3475409836065574
852358,F,229,73,0.31877729257641924
852472,F,255,128,0.5019607843137255
852636,F,422,180,0.4265402843601896
852839,M,8,8,1.0
852967,F,62,1,0.016129032258064516
853297,F,123,41,0.3333333333333333
853305,F,228,86,0.37719298245614036
853363,M,356,80,0.2247191011235955
853379,M,131,41,0.31297709923664124
853672,M,270,130,0.48148148148148145
853724,M,218,59,0.2706422018348624
853741,F,228,37,0.16228070175438597
854168,F,211,117,0.5545023696682464
854372,F,418,137,0.3277511961722488
854494,M,200,51,0.255
854596,F,268,61,0.22761194029850745
854615,F,558,248,0.4444444444444444
855039,M,331,155,0.46827794561933533
855041,F,203,124,0.6108374384236454
855045,F,227,86,0.3788546255506608
855054,F,161,77,0.4782608695652174
855110,M,267,66,0.24719101123595505
855117,F,190,22,0.11578947368421053
855180,F,286,96,0.3356643356643357
855230,M,278,191,0.6870503597122302
855239,F,177,28,0.15819209039548024
855245,F,281,99,0.35231316725978645
855260,F,152,32,0.21052631578947367
855280,F,186,21,0.11290322580645161
855340,F,282,23,0.08156028368794327
855358,M,624,198,0.3173076923076923
855424,F,302,85,0.2814569536423841
855476,M,288,159,0.5520833333333334
855509,F,439,57,0.12984054669703873
855514,F,210,49,0.23333333333333334
855525,M,131,49,0.37404580152671757
855526,M,193,87,0.45077720207253885
855532,F,60,14,0.23333333333333334
855538,F,65,4,0.06153846153846154
855552,F,246,21,0.08536585365853659
855555,F,160,34,0.2125
855572,M,74,34,0.4594594594594595
855605,M,26,17,0.6538461538461539
855626,F,704,268,0.3806818181818182
855637,M,209,89,0.4258373205741627
855662,M,285,113,0.39649122807017545
855675,F,292,42,0.14383561643835616
855680,F,101,13,0.12871287128712872
855688,F,211,104,0.4928909952606635
855694,F,479,107,0.22338204592901878
855713,F,94,35,0.3723404255319149
855720,F,356,141,0.3960674157303371
855723,F,871,275,0.3157290470723307
855728,F,563,222,0.39431616341030196
855734,F,175,6,0.03428571428571429
855737,F,73,2,0.0273972602739726
855743,F,113,25,0.22123893805309736
855748,F,473,146,0.3086680761099366
855752,F,327,91,0.2782874617737003
855765,M,276,160,0.5797101449275363
855790,F,168,48,0.2857142857142857
855795,F,237,115,0.48523206751054854
855797,F,203,60,0.2955665024630542
855809,M,70,43,0.6142857142857143
855810,F,79,8,0.10126582278481013
855817,F,329,188,0.5714285714285714
855825,F,348,90,0.25862068965517243
855827,F,266,95,0.35714285714285715
855829,M,183,63,0.3442622950819672
855832,M,536,257,0.47947761194029853
855869,M,176,57,0.32386363636363635
855891,M,49,21,0.42857142857142855
855914,F,195,61,0.3128205128205128
855953,F,134,16,0.11940298507462686
855993,F,109,11,0.10091743119266056
856002,M,222,67,0.30180180180180183
856042,F,264,83,0.3143939393939394
856054,M,39,11,0.28205128205128205
856062,M,196,61,0.3112244897959184
856172,F,152,26,0.17105263157894737
856181,M,43,11,0.2558139534883721
856195,F,148,25,0.16891891891891891
856197,M,86,6,0.06976744186046512
856252,F,316,156,0.4936708860759494
856281,F,342,87,0.2543859649122807
856350,M,80,23,0.2875
856361,F,113,10,0.08849557522123894
856412,F,221,58,0.26244343891402716
856430,M,140,42,0.3
856446,M,147,71,0.48299319727891155
856577,M,136,30,0.22058823529411764
856657,F,37,5,0.13513513513513514
856665,F,314,45,0.14331210191082802
856736,F,164,60,0.36585365853658536
856779,M,145,25,0.1724137931034483
856828,F,378,218,0.5767195767195767
856831,F,88,17,0.19318181818181818
856875,F,139,26,0.18705035971223022
856880,M,132,113,0.8560606060606061
856904,F,118,66,0.559322033898305
856916,F,127,61,0.48031496062992124
856929,F,271,127,0.46863468634686345
856962,F,86,14,0.16279069767441862
856972,M,71,15,0.2112676056338028
857006,F,384,131,0.3411458333333333
857051,M,72,11,0.1527777777777778
857101,M,248,63,0.2540322580645161
857205,F,91,17,0.18681318681318682
857206,M,174,41,0.23563218390804597
857254,M,292,29,0.09931506849315068
857256,F,320,137,0.428125
857262,M,219,24,0.1095890410958904
857290,M,117,23,0.19658119658119658
857296,F,172,59,0.3430232558139535
857337,M,134,59,0.44029850746268656
857422,M,183,73,0.3989071038251366
857503,M,189,73,0.3862433862433862
857517,F,610,287,0.4704918032786885
857603,F,168,25,0.1488095238095238
857609,M,306,204,0.6666666666666666
857610,F,198,72,0.36363636363636365
857655,F,120,18,0.15
857659,F,87,11,0.12643678160919541
857684,F,160,77,0.48125
857744,M,114,26,0.22807017543859648
857793,F,134,29,0.21641791044776118
857797,M,24,17,0.7083333333333334
857816,M,123,35,0.2845528455284553
857884,M,21,17,0.8095238095238095
857895,M,156,31,0.1987179487179487
857900,F,309,102,0.3300970873786408
857913,M,247,110,0.44534412955465585
857926,M,168,66,0.39285714285714285
858120,M,280,131,0.46785714285714286
858194,F,248,64,0.25806451612903225
858232,M,177,24,0.13559322033898305
858250,M,179,40,0.22346368715083798
858253,F,147,43,0.2925170068027211
858265,M,55,5,0.09090909090909091
858328,M,220,75,0.3409090909090909
858346,M,583,53,0.09090909090909091
858358,M,209,23,0.11004784688995216
858367,M,31,11,0.3548387096774194
858375,M,242,81,0.3347107438016529
858396,M,107,18,0.16822429906542055
858427,M,418,216,0.5167464114832536
858467,M,237,118,0.4978902953586498
858494,F,30,8,0.26666666666666666
858508,F,1,1,1.0
858534,F,44,1,0.022727272727272728
858582,M,79,18,0.22784810126582278
858623,M,94,46,0.48936170212765956
858674,M,655,380,0.5801526717557252
858676,M,119,30,0.25210084033613445
858687,F,284,112,0.39436619718309857
858713,M,77,75,0.974025974025974
858763,M,107,55,0.514018691588785
858807,M,607,269,0.443163097199341
858836,M,485,221,0.4556701030927835
858845,F,187,32,0.1711229946524064
859087,F,197,51,0.25888324873096447
859193,M,58,23,0.39655172413793105
859241,M,193,72,0.37305699481865284
859341,F,279,61,0.21863799283154123
859359,M,335,54,0.16119402985074627
859377,F,73,2,0.0273972602739726
859433,M,59,19,0.3220338983050847
859641,M,153,72,0.47058823529411764
859697,M,28,5,0.17857142857142858
859698,M,60,37,0.6166666666666667
859802,F,130,73,0.5615384615384615
860005,M,68,29,0.4264705882352941
860125,F,54,9,0.16666666666666666
860230,F,136,52,0.38235294117647056
860280,F,160,22,0.1375
860304,F,165,82,0.49696969696969695
860318,M,183,101,0.5519125683060109
860697,M,68,11,0.16176470588235295
860864,F,226,32,0.1415929203539823
860874,M,32,14,0.4375
860931,F,78,51,0.6538461538461539
861058,M,124,65,0.5241935483870968
861106,F,32,7,0.21875
861158,F,101,21,0.2079207920792079
861223,F,408,88,0.21568627450980393
861452,M,98,17,0.17346938775510204
861461,F,236,116,0.4915254237288136
861491,M,8,4,0.5
861566,M,245,38,0.15510204081632653
861710,M,283,77,0.27208480565371024
861733,M,146,50,0.3424657534246575
861995,F,134,15,0.11194029850746269
862102,F,135,87,0.6444444444444445
862143,M,151,80,0.5298013245033113
862187,F,126,13,0.10317460317460317
862363,M,86,11,0.12790697674418605
862583,F,343,39,0.11370262390670553
862947,M,121,31,0.256198347107438
863069,F,72,14,0.19444444444444445
863154,F,83,27,0.3253012048192771
863160,F,48,13,0.2708333333333333
863169,F,1,0,0.0
863211,M,57,15,0.2631578947368421
863328,M,69,35,0.5072463768115942
863409,M,386,112,0.29015544041450775
863427,M,215,28,0.13023255813953488
863476,M,410,244,0.5951219512195122
863661,F,130,22,0.16923076923076924
863773,F,4,0,0.0
864014,F,104,9,0.08653846153846154
864338,F,97,32,0.32989690721649484
864524,F,183,27,0.14754098360655737
864668,F,179,80,0.44692737430167595
864897,F,301,26,0.08637873754152824
865130,F,26,10,0.38461538461538464
865270,F,94,9,0.09574468085106383
865423,F,51,1,0.0196078431372549
865629,M,82,27,0.32926829268292684
865649,F,17,5,0.29411764705882354
865697,M,701,246,0.3509272467902996
865901,M,114,33,0.2894736842105263
865904,F,220,81,0.36818181818181817
865953,M,215,64,0.29767441860465116
865954,M,247,120,0.48582995951417
866039,F,113,40,0.35398230088495575
866059,M,128,68,0.53125
866250,F,76,18,0.23684210526315788
866585,M,379,108,0.2849604221635884
866678,F,431,262,0.6078886310904872
866779,F,389,223,0.5732647814910026
866940,M,80,11,0.1375
867084,F,44,1,0.022727272727272728
867349,F,304,103,0.33881578947368424
867364,F,253,69,0.2727272727272727
867483,M,274,57,0.20802919708029197
867872,F,176,45,0.2556818181818182
867992,F,249,89,0.357429718875502
868276,F,155,22,0.14193548387096774
868277,F,168,61,0.3630952380952381
868425,F,66,18,0.2727272727272727
868492,M,20,14,0.7
868628,M,77,16,0.2077922077922078
868686,F,29,0,0.0
868687,F,19,17,0.8947368421052632
868695,F,69,3,0.043478260869565216
868804,M,198,35,0.17676767676767677
869250,F,452,125,0.27654867256637167
869264,M,393,102,0.2595419847328244
869580,F,682,245,0.3592375366568915
869600,M,161,71,0.4409937888198758
869746,F,98,16,0.16326530612244897
869969,M,107,19,0.17757009345794392
870172,M,224,80,0.35714285714285715
870224,F,267,38,0.14232209737827714
870326,F,625,170,0.272
870328,F,170,90,0.5294117647058824
870345,F,283,128,0.45229681978798586
870402,M,241,88,0.3651452282157676
871136,F,294,54,0.1836734693877551
871214,F,41,3,0.07317073170731707
871299,F,27,14,0.5185185185185185
871346,F,193,45,0.23316062176165803
871350,M,262,58,0.22137404580152673
871407,M,28,10,0.35714285714285715
871458,F,340,138,0.40588235294117647
871474,F,267,46,0.17228464419475656
871477,M,635,220,0.3464566929133858
871489,F,87,44,0.5057471264367817
871531,M,71,2,0.028169014084507043
871544,F,144,44,0.3055555555555556
871551,F,246,76,0.3089430894308943
871594,M,462,60,0.12987012987012986
871596,M,186,66,0.3548387096774194
871609,M,291,58,0.19931271477663232
871610,F,41,0,0.0
871647,F,46,2,0.043478260869565216
871690,F,175,65,0.37142857142857144
871779,F,286,168,0.5874125874125874
871797,F,129,24,0.18604651162790697
871825,F,181,58,0.32044198895027626
871829,F,81,13,0.16049382716049382
871913,M,515,234,0.45436893203883494
871940,M,326,130,0.3987730061349693
871953,F,27,0,0.0
871962,F,235,81,0.3446808510638298
871993,M,230,162,0.7043478260869566
872016,F,309,112,0.36245954692556637
872028,F,137,30,0.21897810218978103
872030,F,186,19,0.10215053763440861
872086,F,58,9,0.15517241379310345
872172,M,215,14,0.06511627906976744
872189,M,46,0,0.0
872191,F,90,59,0.6555555555555556
872237,F,270,76,0.2814814814814815
872289,M,311,224,0.7202572347266881
872302,M,106,43,0.4056603773584906
872384,F,119,71,0.5966386554621849
872388,F,57,16,0.2807017543859649
872443,M,263,100,0.38022813688212925
872459,M,62,18,0.2903225806451613
872460,F,98,27,0.2755102040816326
872539,F,41,0,0.0
872543,M,340,151,0.4441176470588235
872576,M,143,51,0.35664335664335667
872759,M,140,38,0.2714285714285714
872766,F,42,4,0.09523809523809523
872877,F,153,70,0.45751633986928103
872918,F,296,138,0.46621621621621623
872958,F,228,18,0.07894736842105263
872980,M,300,79,0.2633333333333333
872991,F,527,155,0.29411764705882354
873062,F,189,58,0.30687830687830686
873063,F,200,88,0.44
873072,M,85,7,0.08235294117647059
873080,M,471,277,0.5881104033970276
873093,M,172,71,0.4127906976744186
873096,F,163,47,0.2883435582822086
873102,M,286,100,0.34965034965034963
873104,F,291,74,0.2542955326460481
873106,F,169,1,0.005917159763313609
873157,F,40,7,0.175
873168,M,200,18,0.09
873199,F,421,161,0.3824228028503563
873211,M,169,20,0.11834319526627218
873222,M,347,205,0.590778097982709
873233,F,294,32,0.10884353741496598
873236,F,25,9,0.36
873240,F,163,52,0.31901840490797545
873252,M,147,93,0.6326530612244898
873256,F,232,99,0.4267241379310345
873259,F,970,274,0.2824742268041237
873265,F,397,122,0.30730478589420657
873269,F,155,27,0.17419354838709677
873292,F,195,41,0.21025641025641026
873349,F,730,404,0.5534246575342465
873357,F,145,9,0.06206896551724138
873368,F,135,43,0.31851851851851853
873369,F,250,20,0.08
873373,F,116,33,0.28448275862068967
873383,F,314,80,0.25477707006369427
873400,F,240,49,0.20416666666666666
873406,F,346,40,0.11560693641618497
873418,M,410,147,0.35853658536585364
873436,M,237,131,0.5527426160337553
873445,F,269,50,0.18587360594795538
873457,F,373,88,0.2359249329758713
873463,F,130,12,0.09230769230769231
873496,M,310,123,0.3967741935483871
873500,F,205,52,0.25365853658536586
873504,F,84,24,0.2857142857142857
873541,F,470,179,0.38085106382978723
873550,F,262,34,0.1297709923664122
873561,M,377,146,0.38726790450928383
873568,M,267,139,0.5205992509363296
873571,F,149,34,0.22818791946308725
873573,M,298,65,0.2181208053691275
873576,M,360,62,0.17222222222222222
873584,M,105,58,0.5523809523809524
873586,F,215,14,0.06511627906976744
873587,M,252,85,0.3373015873015873
873588,M,125,37,0.296
873597,F,156,7,0.04487179487179487
873602,F,166,10,0.060240963855421686
873614,F,225,8,0.035555555555555556
873634,F,123,29,0.23577235772357724
873635,F,91,36,0.3956043956043956
873636,M,266,90,0.3383458646616541
873646,F,143,38,0.26573426573426573
873680,F,291,80,0.27491408934707906
873691,M,350,147,0.42
873702,M,379,59,0.15567282321899736
873726,M,575,346,0.6017391304347826
873730,F,204,35,0.1715686274509804
873733,F,126,17,0.1349206349206349
873738,M,254,24,0.09448818897637795
873740,M,254,67,0.2637795275590551
873770,F,369,89,0.24119241192411925
873809,M,88,23,0.26136363636363635
873899,M,98,31,0.3163265306122449
873933,M,368,143,0.38858695652173914
873957,F,99,36,0.36363636363636365
873965,F,484,186,0.384297520661157
874002,F,238,87,0.36554621848739494
874009,F,314,73,0.23248407643312102
874025,F,186,28,0.15053763440860216
874052,F,77,14,0.18181818181818182
874085,M,66,15,0.22727272727272727
874129,M,418,108,0.2583732057416268
874134,F,234,48,0.20512820512820512
874140,M,225,39,0.17333333333333334
874146,F,136,20,0.14705882352941177
874151,F,74,6,0.08108108108108109
874152,F,336,160,0.47619047619047616
874156,F,132,65,0.49242424242424243
874162,M,384,157,0.4088541666666667
874167,M,9,5,0.5555555555555556
874169,M,198,89,0.4494949494949495
874170,M,251,120,0.47808764940239046
874179,M,226,73,0.3230088495575221
874184,M,154,25,0.16233766233766234
874193,M,217,72,0.3317972350230415
874195,F,35,12,0.34285714285714286
874215,M,235,92,0.39148936170212767
874248,F,101,37,0.36633663366336633
874256,M,247,41,0.1659919028340081
874265,M,324,91,0.2808641975308642
874272,M,80,9,0.1125
874284,F,258,150,0.5813953488372093
874294,F,123,19,0.15447154471544716
874304,F,356,121,0.3398876404494382
874305,F,220,40,0.18181818181818182
874306,M,82,15,0.18292682926829268
874350,F,143,28,0.1958041958041958
874373,M,19,1,0.05263157894736842
874376,F,179,56,0.3128491620111732
874385,M,180,19,0.10555555555555556
874386,M,518,190,0.3667953667953668
874400,M,126,29,0.23015873015873015
874402,M,226,22,0.09734513274336283
874403,M,170,55,0.3235294117647059
874404,M,144,72,0.5
874420,F,228,92,0.40350877192982454
874427,F,285,29,0.10175438596491228
874433,F,58,0,0.0
874470,M,187,74,0.39572192513368987
874473,F,153,44,0.2875816993464052
874475,F,344,61,0.17732558139534885
874499,F,320,64,0.2
874508,M,174,98,0.5632183908045977
874517,M,357,91,0.2549019607843137
874521,M,354,81,0.2288135593220339
874544,M,271,83,0.3062730627306273
874553,F,89,24,0.2696629213483146
874557,F,127,37,0.29133858267716534
874566,M,57,48,0.8421052631578947
874569,F,124,25,0.20161290322580644
874587,M,264,32,0.12121212121212122
874596,M,175,104,0.5942857142857143
874597,M,165,40,0.24242424242424243
874600,M,173,76,0.4393063583815029
874601,M,267,92,0.3445692883895131
874603,M,313,106,0.33865814696485624
874605,M,222,41,0.18468468468468469
874608,M,159,61,0.3836477987421384
874611,M,535,251,0.4691588785046729
874628,M,435,106,0.24367816091954023
874635,M,152,31,0.20394736842105263
874637,M,260,64,0.24615384615384617
874666,M,220,68,0.3090909090909091
874682,F,7,1,0.14285714285714285
874710,F,286,219,0.7657342657342657
874718,M,152,45,0.29605263157894735
874742,F,166,36,0.21686746987951808
874758,M,136,22,0.16176470588235295
874781,F,220,3,0.013636363636363636
874795,F,231,58,0.2510822510822511
874805,F,186,34,0.1827956989247312
874808,F,190,37,0.19473684210526315
874820,F,220,37,0.16818181818181818
874830,M,110,32,0.2909090909090909
874847,M,260,59,0.22692307692307692
874862,F,312,80,0.2564102564102564
874865,F,463,141,0.3045356371490281
874870,M,155,89,0.5741935483870968
874872,M,203,135,0.6650246305418719
874880,M,157,31,0.19745222929936307
874906,F,88,0,0.0
874913,M,614,318,0.5179153094462541
874916,F,188,43,0.22872340425531915
874929,F,8,0,0.0
874999,F,456,117,0.2565789473684211
875012,F,160,28,0.175
875026,M,245,23,0.09387755102040816
875028,M,241,106,0.43983402489626555
875035,M,191,27,0.14136125654450263
875042,F,122,24,0.19672131147540983
875046,M,424,125,0.294811320754717
875052,M,239,29,0.12133891213389121
875062,M,345,217,0.6289855072463768
875083,F,316,48,0.1518987341772152
875114,M,352,100,0.2840909090909091
875183,F,121,38,0.3140495867768595
875198,M,176,92,0.5227272727272727
875200,F,746,275,0.36863270777479895
875201,M,319,62,0.19435736677115986
875203,F,227,55,0.2422907488986784
875207,F,131,12,0.0916030534351145
875209,M,279,158,0.5663082437275986
875213,F,210,20,0.09523809523809523
875217,F,120,13,0.10833333333333334
875231,M,59,44,0.7457627118644068
875240,M,249,18,0.07228915662650602
875247,M,469,159,0.3390191897654584
875257,F,783,371,0.47381864623243936
875275,F,46,0,0.0
875295,M,282,69,0.24468085106382978
875300,F,281,85,0.302491103202847
875308,M,361,138,0.38227146814404434
875311,M,120,18,0.15
875314,F,64,23,0.359375
875316,M,74,24,0.32432432432432434
875322,F,88,10,0.11363636363636363
875329,M,130,39,0.3
875330,F,69,7,0.10144927536231885
875336,F,126,19,0.15079365079365079
875341,F,178,89,0.5
875348,M,227,58,0.2555066079295154
875357,F,249,63,0.25301204819277107
875358,F,166,51,0.3072289156626506
875361,F,50,32,0.64
875368,M,128,26,0.203125
875373,M,255,136,0.5333333333333333
875397,M,192,50,0.2604166666666667
875414,M,111,56,0.5045045045045045
875415,F,379,108,0.2849604221635884
875430,M,98,50,0.5102040816326531
875434,F,110,35,0.3181818181818182
875440,F,223,56,0.25112107623318386
875444,F,259,35,0.13513513513513514
875450,F,122,5,0.040983606557377046
875453,M,576,144,0.25
875456,F,309,78,0.2524271844660194
875474,F,101,5,0.04950495049504951
875481,M,402,90,0.22388059701492538
875493,F,307,49,0.15960912052117263
875504,M,121,27,0.2231404958677686
875510,F,232,52,0.22413793103448276
875597,M,178,53,0.29775280898876405
875612,F,57,1,0.017543859649122806
875618,F,39,5,0.1282051282051282
875624,F,105,4,0.0380952380952381
875636,F,163,9,0.05521472392638037
875642,F,742,237,0.3194070080862534
875655,F,193,70,0.3626943005181347
875705,M,348,76,0.21839080459770116
875731,F,77,36,0.4675324675324675
875757,M,25,17,0.68
875760,M,498,167,0.3353413654618474
875778,M,75,19,0.25333333333333335
875780,M,272,90,0.33088235294117646
875786,M,246,72,0.2926829268292683
875804,F,160,21,0.13125
875809,F,268,197,0.7350746268656716
875813,M,638,260,0.40752351097178685
875824,M,471,55,0.11677282377919321
875831,M,34,10,0.29411764705882354
875836,M,460,207,0.45
875852,M,269,65,0.241635687732342
875858,M,305,70,0.22950819672131148
875863,M,286,110,0.38461538461538464
875874,M,162,9,0.05555555555555555
875903,F,172,75,0.436046511627907
875907,F,69,12,0.17391304347826086
875912,M,301,123,0.40863787375415284
875931,M,115,42,0.3652173913043478
875940,M,648,234,0.3611111111111111
875942,M,170,51,0.3
875960,M,163,36,0.22085889570552147
875967,M,562,127,0.22597864768683273
875996,F,172,0,0.0
875998,M,158,58,0.3670886075949367
875999,F,113,38,0.336283185840708
876004,F,248,155,0.625
876009,F,431,214,0.4965197215777262
876025,F,51,18,0.35294117647058826
876049,M,506,186,0.3675889328063241
876060,M,270,52,0.1925925925925926
876072,M,375,89,0.23733333333333334
876077,M,261,69,0.26436781609195403
876106,F,179,82,0.4581005586592179
876123,M,320,70,0.21875
876160,F,208,65,0.3125
876170,M,201,99,0.4925373134328358
876174,F,98,6,0.061224489795918366
876179,M,116,16,0.13793103448275862
876181,F,151,57,0.37748344370860926
876183,M,38,18,0.47368421052631576
876202,M,182,53,0.29120879120879123
876218,M,9,2,0.2222222222222222
876224,F,83,6,0.07228915662650602
876258,M,98,2,0.02040816326530612
876277,F,129,19,0.14728682170542637
876288,F,663,197,0.2971342383107089
876300,M,139,36,0.2589928057553957
876307,M,124,31,0.25
876313,M,262,113,0.4312977099236641
876324,M,215,111,0.5162790697674419
876328,F,27,0,0.0
876331,M,209,30,0.14354066985645933
876340,M,174,98,0.5632183908045977
876384,M,324,102,0.3148148148148148
876402,M,256,86,0.3359375
876405,F,384,76,0.19791666666666666
876422,F,383,85,0.22193211488250653
876443,F,22,7,0.3181818181818182
